doc_id,title,calories,protein,fat,sodium,rating,text_chunk
doc_00024,Almond Ice Cream Terrine With Chocolate Truffles And Raspberry Sauce,363.0,5.0,22.0,28.0,5.0,"Recipe: Almond Ice Cream Terrine With Chocolate Truffles And Raspberry Sauce.
Nutrition per serving: 363 kcal | 5 g protein | 22 g fat | 28 mg sodium.
Nutrition profile: moderate-calorie (200–400 kcal), low-protein (< 10 g), moderate-fat (15–29 g), very low-sodium (< 150 mg).
User rating: 5.00/5 — outstanding (≥ 4.5).
Diet suitability: none specified.
Cuisine / style: general.
Meal type: dessert.
Main protein source: not specified.
Cooking method: standard.
Additional attributes: almond, boil, chill, chocolate, freeze/chill, frozen dessert, milk/cream, raspberry, simmer, summer."
doc_00026,Seafood Risotto (Risotto Ai Fruitti Di Mare),799.0,50.0,38.0,1162.0,5.0,"Recipe: Seafood Risotto (Risotto Ai Fruitti Di Mare).
Nutrition per serving: 799 kcal | 50 g protein | 38 g fat | 1162 mg sodium.
Nutrition profile: very high-calorie (over 700 kcal), high-protein (≥25 g), high-fat (≥ 30 g), high-sodium (≥ 600 mg).
User rating: 5.00/5 — outstanding (≥ 4.5).
Diet suitability: none specified.
Cuisine / style: general.
Meal type: general purpose.
Main protein source: seafood.
Cooking method: standard.
Additional attributes: clam, mussel, rice, scallop, shellfish, simmer, squid, tomato."
doc_00030,Mahón Cheese Ice Cream,235.0,10.0,14.0,231.0,5.0,"Recipe: Mahón Cheese Ice Cream.
Nutrition per serving: 235 kcal | 10 g protein | 14 g fat | 231 mg sodium.
Nutrition profile: moderate-calorie (200–400 kcal), moderate-protein (10–24 g), low-fat (5–14 g), moderate-sodium (150–599 mg).
User rating: 5.00/5 — outstanding (≥ 4.5).
Diet suitability: kosher, pescatarian, vegetarian.
Cuisine / style: general.
Meal type: dessert.
Main protein source: egg.
Cooking method: standard.
Additional attributes: cheese, cream cheese, dairy, freeze/chill, frozen dessert, kidney friendly, milk/cream, peanut free, soy free, tree nut free, wheat/gluten-free."
doc_00034,"Pepper Steak With Port, Zinfandel, And Mushroom Sauce",531.0,35.0,30.0,388.0,5.0,"Recipe: Pepper Steak With Port, Zinfandel, And Mushroom Sauce.
Nutrition per serving: 531 kcal | 35 g protein | 30 g fat | 388 mg sodium.
Nutrition profile: high-calorie (400–700 kcal), high-protein (≥25 g), high-fat (≥ 30 g), moderate-sodium (150–599 mg).
User rating: 5.00/5 — outstanding (≥ 4.5).
Diet suitability: none specified.
Cuisine / style: general.
Meal type: general purpose.
Main protein source: beef.
Cooking method: standard.
Additional attributes: fall, mushroom, sauté, shallot, steak."
doc_00036,Grilled East Coast Oysters With Corn Jalapeño Salsita,500.0,25.0,22.0,240.0,5.0,"Recipe: Grilled East Coast Oysters With Corn Jalapeño Salsita.
Nutrition per serving: 500 kcal | 25 g protein | 22 g fat | 240 mg sodium.
Nutrition profile: high-calorie (400–700 kcal), high-protein (≥25 g), moderate-fat (15–29 g), moderate-sodium (150–599 mg).
User rating: 5.00/5 — outstanding (≥ 4.5).
Diet suitability: dairy free, pescatarian.
Cuisine / style: general.
Meal type: appetizer, dinner.
Main protein source: seafood.
Cooking method: grill/barbecue.
Additional attributes: corn, grill, jalapeño, no sugar added, oyster, peanut free, pepper, shellfish, soy free, tree nut free, vegetable, wheat/gluten-free."
doc_00037,"Spicy Boiled Crabs, Shrimp, Potatoes, Corn, And Garlic",952.0,134.0,11.0,5162.459999999999,5.0,"Recipe: Spicy Boiled Crabs, Shrimp, Potatoes, Corn, And Garlic.
Nutrition per serving: 952 kcal | 134 g protein | 11 g fat | 5162 mg sodium.
Nutrition profile: very high-calorie (over 700 kcal), high-protein (≥25 g), low-fat (5–14 g), high-sodium (≥ 600 mg).
User rating: 5.00/5 — outstanding (≥ 4.5).
Diet suitability: none specified.
Cuisine / style: general.
Meal type: general purpose.
Main protein source: shrimp.
Cooking method: standard.
Additional attributes: boil, corn, crab, garlic, potato, summer.
Note: this recipe has unusually extreme nutritional values."
doc_00041,Finnan Haddie Chowder,851.0,51.0,36.0,1384.0,5.0,"Recipe: Finnan Haddie Chowder.
Nutrition per serving: 851 kcal | 51 g protein | 36 g fat | 1384 mg sodium.
Nutrition profile: very high-calorie (over 700 kcal), high-protein (≥25 g), high-fat (≥ 30 g), high-sodium (≥ 600 mg).
User rating: 5.00/5 — outstanding (≥ 4.5).
Diet suitability: none specified.
Cuisine / style: general.
Meal type: dinner, lunch, soup/stew.
Main protein source: fish, seafood.
Cooking method: standard.
Additional attributes: bacon, corn, fall, meat, peanut free, potato, root vegetable, soy free, tree nut free, wheat/gluten-free, winter."
doc_00042,Curry-And-Coconut-Milk-Grilled Pork Skewers,709.0,20.0,54.0,1759.0,5.0,"Recipe: Curry-And-Coconut-Milk-Grilled Pork Skewers.
Nutrition per serving: 709 kcal | 20 g protein | 54 g fat | 1759 mg sodium.
Nutrition profile: very high-calorie (over 700 kcal), moderate-protein (10–24 g), high-fat (≥ 30 g), high-sodium (≥ 600 mg).
User rating: 5.00/5 — outstanding (≥ 4.5).
Diet suitability: none specified.
Cuisine / style: general.
Meal type: dinner.
Main protein source: pork.
Cooking method: grill/barbecue.
Additional attributes: kid-friendly, peanut free, spring, summer, tree nut free."
doc_00043,Toasted Orecchiette With Veal Meatballs,980.0,44.0,51.0,831.0,5.0,"Recipe: Toasted Orecchiette With Veal Meatballs.
Nutrition per serving: 980 kcal | 44 g protein | 51 g fat | 831 mg sodium.
Nutrition profile: very high-calorie (over 700 kcal), high-protein (≥25 g), high-fat (≥ 30 g), high-sodium (≥ 600 mg).
User rating: 5.00/5 — outstanding (≥ 4.5).
Diet suitability: none specified.
Cuisine / style: general.
Meal type: dinner.
Main protein source: pork.
Cooking method: standard.
Additional attributes: bacon, garlic, kale, kid-friendly, mushroom, pasta, peanut free, soy free, tree nut free, veal."
doc_00049,White Pepper Crème Brûlée With Fig And Prune Compote,961.0,11.0,82.0,83.0,5.0,"Recipe: White Pepper Crème Brûlée With Fig And Prune Compote.
Nutrition per serving: 961 kcal | 11 g protein | 82 g fat | 83 mg sodium.
Nutrition profile: very high-calorie (over 700 kcal), moderate-protein (10–24 g), high-fat (≥ 30 g), very low-sodium (< 150 mg).
User rating: 5.00/5 — outstanding (≥ 4.5).
Diet suitability: kosher, pescatarian, vegetarian.
Cuisine / style: general.
Meal type: dessert.
Main protein source: egg.
Cooking method: bake.
Additional attributes: apple, fall, fig, fruit, fruit juice, milk/cream, orange, peanut free, prune, soy free, spice, tree nut free, wheat/gluten-free."
doc_00051,Spiced Fresh Orange And Honey Sorbet,257.0,1.0,0.0,7.0,5.0,"Recipe: Spiced Fresh Orange And Honey Sorbet.
Nutrition per serving: 257 kcal | 1 g protein | 0 g fat | 7 mg sodium.
Nutrition profile: moderate-calorie (200–400 kcal), low-protein (< 10 g), very low-fat (< 5 g), very low-sodium (< 150 mg).
User rating: 5.00/5 — outstanding (≥ 4.5).
Diet suitability: dairy free, kosher, low fat, pescatarian, vegetarian.
Cuisine / style: general.
Meal type: dessert.
Main protein source: not specified.
Cooking method: standard.
Additional attributes: fat free, freeze/chill, frozen dessert, honey, kidney friendly, low cal, low cholesterol, orange, peanut free, soy free, spice, tree nut free, wheat/gluten-free, winter."
doc_00053,Crab Cake Blt,1135.0,40.0,75.0,1785.0,5.0,"Recipe: Crab Cake Blt.
Nutrition per serving: 1135 kcal | 40 g protein | 75 g fat | 1785 mg sodium.
Nutrition profile: very high-calorie (over 700 kcal), high-protein (≥25 g), high-fat (≥ 30 g), high-sodium (≥ 600 mg).
User rating: 5.00/5 — outstanding (≥ 4.5).
Diet suitability: none specified.
Cuisine / style: general.
Meal type: sandwich.
Main protein source: not specified.
Cooking method: standard.
Additional attributes: bacon, crab, lettuce, shellfish, summer, tomato."
doc_00054,Radishes With Burrata,235.0,13.0,19.0,388.0,5.0,"Recipe: Radishes With Burrata.
Nutrition per serving: 235 kcal | 13 g protein | 19 g fat | 388 mg sodium.
Nutrition profile: moderate-calorie (200–400 kcal), moderate-protein (10–24 g), moderate-fat (15–29 g), moderate-sodium (150–599 mg).
User rating: 5.00/5 — outstanding (≥ 4.5).
Diet suitability: kosher, pescatarian, sugar conscious, vegetarian.
Cuisine / style: general.
Meal type: lunch, salad, side.
Main protein source: not specified.
Cooking method: standard.
Additional attributes: cheese, kidney friendly, no sugar added, peanut free, radish, soy free, tree nut free, wheat/gluten-free."
doc_00056,Asian Noodles With Barbecued Duck Confit,519.0,14.0,25.0,1237.0,5.0,"Recipe: Asian Noodles With Barbecued Duck Confit.
Nutrition per serving: 519 kcal | 14 g protein | 25 g fat | 1237 mg sodium.
Nutrition profile: high-calorie (400–700 kcal), moderate-protein (10–24 g), moderate-fat (15–29 g), high-sodium (≥ 600 mg).
User rating: 5.00/5 — outstanding (≥ 4.5).
Diet suitability: none specified.
Cuisine / style: general.
Meal type: general purpose.
Main protein source: not specified.
Cooking method: standard.
Additional attributes: broil, carrot, duck, green bean, noodle, simmer, soy sauce, vinegar."
doc_00061,Pan-Fried Catfish With Arugula-Orange Salad,540.0,25.0,34.0,734.0,5.0,"Recipe: Pan-Fried Catfish With Arugula-Orange Salad.
Nutrition per serving: 540 kcal | 25 g protein | 34 g fat | 734 mg sodium.
Nutrition profile: high-calorie (400–700 kcal), high-protein (≥25 g), high-fat (≥ 30 g), high-sodium (≥ 600 mg).
User rating: 5.00/5 — outstanding (≥ 4.5).
Diet suitability: none specified.
Cuisine / style: general.
Meal type: salad.
Main protein source: fish.
Cooking method: standard.
Additional attributes: arugula, orange, pan-fry."
doc_00064,Diner-Style French Toast,481.0,15.0,27.0,630.0,5.0,"Recipe: Diner-Style French Toast.
Nutrition per serving: 481 kcal | 15 g protein | 27 g fat | 630 mg sodium.
Nutrition profile: high-calorie (400–700 kcal), moderate-protein (10–24 g), moderate-fat (15–29 g), high-sodium (≥ 600 mg).
User rating: 5.00/5 — outstanding (≥ 4.5).
Diet suitability: kosher, pescatarian, vegetarian.
Cuisine / style: general.
Meal type: breakfast, brunch.
Main protein source: not specified.
Cooking method: standard.
Additional attributes: bread, maple syrup, peanut free, soy free, tree nut free."
doc_00065,Old-Fashioned Ham With Brown Sugar And Mustard Glaze,917.0,75.0,47.0,4856.0,5.0,"Recipe: Old-Fashioned Ham With Brown Sugar And Mustard Glaze.
Nutrition per serving: 917 kcal | 75 g protein | 47 g fat | 4856 mg sodium.
Nutrition profile: very high-calorie (over 700 kcal), high-protein (≥25 g), high-fat (≥ 30 g), high-sodium (≥ 600 mg).
User rating: 5.00/5 — outstanding (≥ 4.5).
Diet suitability: dairy free.
Cuisine / style: general.
Meal type: dinner.
Main protein source: not specified.
Cooking method: bake.
Additional attributes: apple, fruit juice, ham, honey, low cal, mustard, peanut free, soy free, tree nut free, wheat/gluten-free.
Note: this recipe has unusually extreme nutritional values."
doc_00066,Honey-Brined Turkey With Giblet Cream Gravy,795.0,118.0,22.0,5162.459999999999,5.0,"Recipe: Honey-Brined Turkey With Giblet Cream Gravy.
Nutrition per serving: 795 kcal | 118 g protein | 22 g fat | 5162 mg sodium.
Nutrition profile: very high-calorie (over 700 kcal), high-protein (≥25 g), moderate-fat (15–29 g), high-sodium (≥ 600 mg).
User rating: 5.00/5 — outstanding (≥ 4.5).
Diet suitability: none specified.
Cuisine / style: general.
Meal type: general purpose.
Main protein source: turkey.
Cooking method: roast.
Additional attributes: brine, fall, milk/cream, onion.
Note: this recipe has unusually extreme nutritional values."
doc_00067,"Cider, Bacon, And Golden Raisin Stuffing",543.0,16.0,26.0,946.0,5.0,"Recipe: Cider, Bacon, And Golden Raisin Stuffing.
Nutrition per serving: 543 kcal | 16 g protein | 26 g fat | 946 mg sodium.
Nutrition profile: high-calorie (400–700 kcal), moderate-protein (10–24 g), moderate-fat (15–29 g), high-sodium (≥ 600 mg).
User rating: 5.00/5 — outstanding (≥ 4.5).
Diet suitability: none specified.
Cuisine / style: general.
Meal type: side.
Main protein source: not specified.
Cooking method: standard.
Additional attributes: bacon, kid-friendly, peanut free, raisin, soy free, stuffing/dressing, tree nut free."
doc_00071,Warm Goat Cheese Salad With Pears And Walnuts,796.0,23.0,63.0,683.0,5.0,"Recipe: Warm Goat Cheese Salad With Pears And Walnuts.
Nutrition per serving: 796 kcal | 23 g protein | 63 g fat | 683 mg sodium.
Nutrition profile: very high-calorie (over 700 kcal), moderate-protein (10–24 g), high-fat (≥ 30 g), high-sodium (≥ 600 mg).
User rating: 5.00/5 — outstanding (≥ 4.5).
Diet suitability: vegetarian.
Cuisine / style: general.
Meal type: salad.
Main protein source: not specified.
Cooking method: standard.
Additional attributes: chill, endive, goat cheese, lettuce, pear, sauté, walnut."
doc_00074,Japanese Beef And Vegetable Stew,702.0,46.0,33.0,2952.0,5.0,"Recipe: Japanese Beef And Vegetable Stew.
Nutrition per serving: 702 kcal | 46 g protein | 33 g fat | 2952 mg sodium.
Nutrition profile: very high-calorie (over 700 kcal), high-protein (≥25 g), high-fat (≥ 30 g), high-sodium (≥ 600 mg).
User rating: 5.00/5 — outstanding (≥ 4.5).
Diet suitability: dairy free.
Cuisine / style: general.
Meal type: dinner.
Main protein source: beef, egg.
Cooking method: standard.
Additional attributes: freeze/chill, leafy green, mushroom, onion, pasta, peanut free, soy, tree nut free, vegetable.
Note: this recipe has unusually extreme nutritional values."
doc_00076,Vanilla Custard Sauce,306.0,8.0,20.0,57.0,5.0,"Recipe: Vanilla Custard Sauce.
Nutrition per serving: 306 kcal | 8 g protein | 20 g fat | 57 mg sodium.
Nutrition profile: moderate-calorie (200–400 kcal), low-protein (< 10 g), moderate-fat (15–29 g), very low-sodium (< 150 mg).
User rating: 5.00/5 — outstanding (≥ 4.5).
Diet suitability: kosher, pescatarian, vegetarian.
Cuisine / style: general.
Meal type: dessert, sauce.
Main protein source: egg.
Cooking method: standard.
Additional attributes: chill, kidney friendly, milk/cream, peanut free, simmer, soy free, tree nut free, vanilla, wheat/gluten-free."
doc_00077,Spicy Broccoli Rabe With Parmesan And Pine Nuts,240.0,12.0,19.0,797.0,5.0,"Recipe: Spicy Broccoli Rabe With Parmesan And Pine Nuts.
Nutrition per serving: 240 kcal | 12 g protein | 19 g fat | 797 mg sodium.
Nutrition profile: moderate-calorie (200–400 kcal), moderate-protein (10–24 g), moderate-fat (15–29 g), high-sodium (≥ 600 mg).
User rating: 5.00/5 — outstanding (≥ 4.5).
Diet suitability: kosher, pescatarian, sugar conscious.
Cuisine / style: general.
Meal type: side.
Main protein source: not specified.
Cooking method: standard.
Additional attributes: anchovy, broccoli rabe, garlic, no sugar added, parmesan, peanut free, pine nut, soy free, wheat/gluten-free."
doc_00084,Halvah Vanilla Ice Cream,285.0,4.0,21.0,29.0,5.0,"Recipe: Halvah Vanilla Ice Cream.
Nutrition per serving: 285 kcal | 4 g protein | 21 g fat | 29 mg sodium.
Nutrition profile: moderate-calorie (200–400 kcal), low-protein (< 10 g), moderate-fat (15–29 g), very low-sodium (< 150 mg).
User rating: 5.00/5 — outstanding (≥ 4.5).
Diet suitability: none specified.
Cuisine / style: general.
Meal type: dessert.
Main protein source: egg.
Cooking method: standard.
Additional attributes: boil, chill, freeze/chill, frozen dessert, kid-friendly, milk/cream, summer, vanilla."
doc_00085,Duck Bigarade,324.0,42.0,9.0,209.0,5.0,"Recipe: Duck Bigarade.
Nutrition per serving: 324 kcal | 42 g protein | 9 g fat | 209 mg sodium.
Nutrition profile: moderate-calorie (200–400 kcal), high-protein (≥25 g), low-fat (5–14 g), moderate-sodium (150–599 mg).
User rating: 5.00/5 — outstanding (≥ 4.5).
Diet suitability: dairy free, kosher.
Cuisine / style: general.
Meal type: dinner.
Main protein source: not specified.
Cooking method: advance prep required.
Additional attributes: citrus, duck, fall, fruit, orange, peanut free, poultry, soy free, tree nut free, winter."
doc_00086,Rosemary Rack Of Lamb With Roasted Potatoes And Carrots For Two,1566.0,48.0,128.0,1775.0,5.0,"Recipe: Rosemary Rack Of Lamb With Roasted Potatoes And Carrots For Two.
Nutrition per serving: 1566 kcal | 48 g protein | 128 g fat | 1775 mg sodium.
Nutrition profile: very high-calorie (over 700 kcal), high-protein (≥25 g), high-fat (≥ 30 g), high-sodium (≥ 600 mg).
User rating: 5.00/5 — outstanding (≥ 4.5).
Diet suitability: none specified.
Cuisine / style: general.
Meal type: dinner.
Main protein source: lamb.
Cooking method: standard.
Additional attributes: carrot, peanut free, potato, tree nut free, valentine's day, wheat/gluten-free, winter.
Note: this recipe has unusually extreme nutritional values."
doc_00087,Chilled Seafood Salad With Herbed Olive Oil And Sea Salt,213.0,16.0,15.0,478.0,5.0,"Recipe: Chilled Seafood Salad With Herbed Olive Oil And Sea Salt.
Nutrition per serving: 213 kcal | 16 g protein | 15 g fat | 478 mg sodium.
Nutrition profile: moderate-calorie (200–400 kcal), moderate-protein (10–24 g), moderate-fat (15–29 g), moderate-sodium (150–599 mg).
User rating: 5.00/5 — outstanding (≥ 4.5).
Diet suitability: healthy.
Cuisine / style: general.
Meal type: salad.
Main protein source: shrimp.
Cooking method: standard.
Additional attributes: boil, chill, chive, low/no sugar, parsley, rosemary, scallop, squid."
doc_00089,"Chicken, Ham And Fennel Pot Pies",706.0,38.0,40.0,761.0,5.0,"Recipe: Chicken, Ham And Fennel Pot Pies.
Nutrition per serving: 706 kcal | 38 g protein | 40 g fat | 761 mg sodium.
Nutrition profile: very high-calorie (over 700 kcal), high-protein (≥25 g), high-fat (≥ 30 g), high-sodium (≥ 600 mg).
User rating: 5.00/5 — outstanding (≥ 4.5).
Diet suitability: none specified.
Cuisine / style: general.
Meal type: general purpose.
Main protein source: chicken, pork.
Cooking method: bake.
Additional attributes: poultry, vegetable, winter."
doc_00091,Caviar And Salmon Blini Tortes,534.0,27.0,39.0,1124.0,5.0,"Recipe: Caviar And Salmon Blini Tortes.
Nutrition per serving: 534 kcal | 27 g protein | 39 g fat | 1124 mg sodium.
Nutrition profile: high-calorie (400–700 kcal), high-protein (≥25 g), high-fat (≥ 30 g), high-sodium (≥ 600 mg).
User rating: 5.00/5 — outstanding (≥ 4.5).
Diet suitability: none specified.
Cuisine / style: general.
Meal type: general purpose.
Main protein source: egg, fish.
Cooking method: standard.
Additional attributes: salmon, sour cream, whole wheat, winter."
doc_00093,Double Chocolate Torte,852.0,10.0,65.0,148.0,5.0,"Recipe: Double Chocolate Torte.
Nutrition per serving: 852 kcal | 10 g protein | 65 g fat | 148 mg sodium.
Nutrition profile: very high-calorie (over 700 kcal), moderate-protein (10–24 g), high-fat (≥ 30 g), very low-sodium (< 150 mg).
User rating: 5.00/5 — outstanding (≥ 4.5).
Diet suitability: kosher, pescatarian, vegetarian.
Cuisine / style: general.
Meal type: dessert.
Main protein source: egg.
Cooking method: bake.
Additional attributes: butter, cake, chocolate, milk/cream, peanut free, raspberry, soy free, tree nut free."
doc_00101,Carolina-Style Pork Bbq Sandwiches,422.0,55.0,16.0,1370.0,5.0,"Recipe: Carolina-Style Pork Bbq Sandwiches.
Nutrition per serving: 422 kcal | 55 g protein | 16 g fat | 1370 mg sodium.
Nutrition profile: high-calorie (400–700 kcal), high-protein (≥25 g), moderate-fat (15–29 g), high-sodium (≥ 600 mg).
User rating: 5.00/5 — outstanding (≥ 4.5).
Diet suitability: none specified.
Cuisine / style: general.
Meal type: sandwich.
Main protein source: pork.
Cooking method: grill/barbecue."
doc_00107,Ramp And Sausage Risotto,622.0,23.0,34.0,812.0,5.0,"Recipe: Ramp And Sausage Risotto.
Nutrition per serving: 622 kcal | 23 g protein | 34 g fat | 812 mg sodium.
Nutrition profile: high-calorie (400–700 kcal), moderate-protein (10–24 g), high-fat (≥ 30 g), high-sodium (≥ 600 mg).
User rating: 5.00/5 — outstanding (≥ 4.5).
Diet suitability: none specified.
Cuisine / style: general.
Meal type: dinner.
Main protein source: not specified.
Cooking method: standard.
Additional attributes: green onion/scallion, parmesan, peanut free, sausage, soy free, spring, tree nut free, wheat/gluten-free."
doc_00108,Coffee-Marinated Skirt Steak,461.0,35.0,29.0,291.0,5.0,"Recipe: Coffee-Marinated Skirt Steak.
Nutrition per serving: 461 kcal | 35 g protein | 29 g fat | 291 mg sodium.
Nutrition profile: high-calorie (400–700 kcal), high-protein (≥25 g), moderate-fat (15–29 g), moderate-sodium (150–599 mg).
User rating: 5.00/5 — outstanding (≥ 4.5).
Diet suitability: none specified.
Cuisine / style: general.
Meal type: general purpose.
Main protein source: beef.
Cooking method: grill/barbecue.
Additional attributes: coffee, grill, marinate, meat, steak, summer."
doc_00112,Tiramisu Affogato,294.0,4.0,21.0,85.0,5.0,"Recipe: Tiramisu Affogato.
Nutrition per serving: 294 kcal | 4 g protein | 21 g fat | 85 mg sodium.
Nutrition profile: moderate-calorie (200–400 kcal), low-protein (< 10 g), moderate-fat (15–29 g), very low-sodium (< 150 mg).
User rating: 5.00/5 — outstanding (≥ 4.5).
Diet suitability: kosher, pescatarian, vegetarian.
Cuisine / style: general.
Meal type: dessert.
Main protein source: not specified.
Cooking method: no-cook, quick & easy.
Additional attributes: chocolate, coffee, milk/cream, peanut free, soy free, spring, summer, tree nut free."
